exporter,importer,commodity,mode,year,source,value_usd
South Korea,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,26114498.149
China,Myanmar,Fertilizer,Road,2022,UN Comtrade public preview,25271023.56
Turkey,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,24859863.164
Georgia,Armenia,Fertilizer,Rail,2022,UN Comtrade public preview,24684791.56
Vietnam,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,24458332.565
Morocco,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,24223778.961
Uzbekistan,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,23794400.58
Netherlands,Romania,Fertilizer,Road,2022,UN Comtrade public preview,23505840.64
Russia,Romania,Fertilizer,Rail,2022,UN Comtrade public preview,23178254.94
Russia,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,22999853.38
Singapore,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,22316129.212
Libya,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,22096296.49
Netherlands,Czechia,Fertilizer,Road,2022,UN Comtrade public preview,21685170.0
Greece,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,21585563.35
Russia,Armenia,Fertilizer,Road,2022,UN Comtrade public preview,20638395.32
Canada,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,20359251.348
China,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,19862149.0
Belarus,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,19661449.594
Chile,Bolivia,Fertilizer,Road,2022,UN Comtrade public preview,19564314.0
Austria,Romania,Fertilizer,Road,2022,UN Comtrade public preview,19491892.4
Ukraine,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,18425769.46
Saudi Arabia,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,18114941.686
Thailand,Australia,Fertilizer,Sea,2022,UN Comtrade public preview,18032295.433
Saudi Arabia,Angola,Fertilizer,Sea,2022,UN Comtrade public preview,17833144.846
Qatar,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,17535619.228
Finland,Romania,Fertilizer,Road,2022,UN Comtrade public preview,16659475.74
Ukraine,Romania,Fertilizer,Road,2022,UN Comtrade public preview,16184018.4
Singapore,Myanmar,Fertilizer,Sea,2022,UN Comtrade public preview,15551528.0
Bahrain,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,15521946.392
Ukraine,Moldova,Fertilizer,Rail,2022,UN Comtrade public preview,15510600.0
Poland,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,15418684.696
Italy,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,15326146.582
Turkey,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,15143618.55
Germany,Mozambique,Fertilizer,Sea,2022,UN Comtrade public preview,15031895.016
China,Laos,Fertilizer,Rail,2022,UN Comtrade public preview,14664541.01
Turkmenistan,Romania,Fertilizer,Sea,2022,UN Comtrade public preview,14539674.16
Saudi Arabia,Bulgaria,Fertilizer,Road,2022,UN Comtrade public preview,14301832.132
Jordan,Romania,Fertilizer,Road,2022,UN Comtrade public preview,14056950.6
United Kingdom,Namibia,Fertilizer,Sea,2022,UN Comtrade public preview,13901880.096
Canada,Colombia,Fertilizer,Road,2022,UN Comtrade public preview,13705076.64
Russia,North Macedonia,Fertilizer,Road,2022,UN Comtrade public preview,13596400.38
Netherlands,Mexico,Fertilizer,Sea,2022,UN Comtrade public preview,13422737.0
Turkmenistan,Bulgaria,Fertilizer,Sea,2022,UN Comtrade public preview,12695167.416
